,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
349,552,6,366,0,3,4,1,107,0,1,0,1,0
350,445,6,324.25,14,3,4,2,98,0,1,0,1,0
351,490,8,327.75,4,3,3,1,91,0,1,0,1,0
352,996,7,913.84,18,3,4,1,76,0,2,0,2,0
353,1089,3,774.1,13,3,3,1,81,1,2,0,3,0
354,746,8,693.26,5,3,4,1,107,1,2,0,2,1
355,1051,5,669.09,18,3,3,1,37,0,2,0,2,0
356,748,9,601.18,11,3,2,1,76,1,1,0,1,1
357,483,9,327.2,9,3,3,1,61,0,1,0,1,0
358,919,7,745.77,10,0,4,1,43,1,2,0,2,1
359,1250,0,849.45,43,3,3,1,64,1,1,0,2,1
360,738,7,459.85,2,3,4,1,47,0,2,0,2,0
361,1294,2,1101.8,5,3,4,1,91,1,2,0,2,1
362,620,2,492.8,10,3,4,1,22,1,1,0,1,0
363,936,2,829.63,7,3,4,1,57,0,1,0,2,1
364,1075,1,1074.21,18,2,2,1,42,1,2,0,1,1
365,530,9,445.62,15,4,4,1,23,0,1,0,1,0
366,1545,6,1293.31,17,4,2,1,129,1,2,0,3,1
367,1181,5,1220.3,16,4,4,1,21,0,2,0,3,0
368,1237,0,1090,6,3,4,2,129,2,2,0,3,1
369,535,2,430.89,16,3,4,1,65,1,1,0,1,0
370,1140,5,887.69,10,3,4,1,101,0,2,0,2,1
371,514,8,443.49,11,3,3,1,12,1,1,0,1,0
372,587,6,418.05,10,2,4,1,101,0,1,0,1,1
373,792,7,727.26,5,3,1,1,107,1,2,0,2,0
374,1200,9,789.61,8,4,3,2,24,0,3,0,2,0
375,1232,7,1134.64,36,3,3,1,36,0,3,0,2,0
376,455,6,545.88,8,2,3,1,102,0,1,0,1,0
377,1380,5,865,46,3,1,1,62,1,3,0,2,0
378,707,8,586.47,17,4,3,1,102,0,1,0,1,0
379,700,0,589.38,10,3,3,1,49,0,1,0,1,1
380,747,2,536.67,0,3,4,1,23,0,2,0,2,1
381,790,7,682,19,4,4,1,118,0,1,0,1,0
382,662,9,446.73,12,3,4,1,5,1,1,0,1,1
383,2180,0,1737.17,28,4,1,2,76,2,2,0,3,1
384,755,8,737.62,5,3,4,1,125,0,2,0,2,0
385,570,0,711.87,8,2,4,1,102,0,1,0,1,0
386,600,7,575.99,18,3,3,1,108,0,1,0,1,0
387,596,8,410.2,16,3,2,1,91,0,1,0,1,0
388,1228,8,965.08,43,3,3,1,115,2,3,0,2,0
389,613,7,362.15,1,3,3,1,81,0,1,0,1,1
390,539,2,436,9,3,4,1,43,1,1,0,1,1
391,842,8,522.57,50,3,3,1,62,1,1,0,1,0
392,1329,6,1202,15,3,2,1,33,1,2,0,2,0
393,920,7,725.59,10,3,3,1,124,0,2,0,2,0
394,720,2,520.68,19,2,4,1,76,0,1,0,2,0
395,4236,0,1416.07,15,4,3,1,78,2,3,0,4,0
396,553,0,460.69,15,3,3,1,61,0,1,0,1,0
397,1368,8,997.89,11,1,4,1,69,1,2,0,3,0
398,573,9,462.62,8,3,4,1,22,0,1,0,1,1
399,1399,8,1050.81,40,0,4,0,114,1,3,0,2,0
400,920,3,635.76,12,3,4,1,102,0,2,0,2,1
401,962,9,611,34,3,3,1,72,0,2,0,2,0
402,1185,2,360.69,4,3,3,2,30,0,2,0,3,1
403,1256,2,1014.61,31,2,3,1,114,1,2,0,2,0
404,792,3,676.47,15,2,3,1,61,0,1,0,1,1
405,549,9,443.03,14,4,4,1,107,0,1,0,1,1
406,695,9,538.94,14,3,4,1,107,0,1,0,1,1
407,717,2,218.26,4,1,3,2,30,0,2,0,1,0
408,727,6,524.18,10,3,4,1,7,0,1,0,2,1
409,1485,9,573.82,24,3,3,2,103,0,3,0,3,1
410,596,8,410,16,3,2,1,91,0,1,0,1,0
411,650,6,471.51,10,3,4,1,22,0,1,0,1,1
412,1074,2,708.41,32,2,3,1,103,1,1,0,2,1
413,606,9,411.19,3,3,4,1,105,0,1,0,1,1
414,1088,0,721,8,4,3,1,24,1,2,0,2,1
415,712,0,789.63,9,3,4,1,124,1,2,0,2,0
416,1004,8,1009.65,21,3,4,1,7,1,2,0,2,0
417,1327,8,1007.93,21,1,4,1,108,0,2,0,2,1
418,537,0,370.88,2,3,4,1,102,0,1,0,1,0
419,1140,9,500,46,3,1,1,84,0,3,0,2,0
420,649,0,332.47,3,3,3,1,35,0,1,0,1,1
421,810,5,737.55,10,3,4,0,91,0,2,0,2,0
422,2371,8,2018.95,29,3,2,1,118,2,3,0,3,0
423,652,2,448,29,2,3,1,5,1,1,0,1,0
424,596,7,543.16,8,3,4,1,27,1,1,0,1,0
425,980,6,974,44,3,2,1,111,1,3,0,2,0
426,617,9,477.86,1,3,3,1,44,0,1,0,1,1
427,526,9,339.33,0,3,3,1,108,0,1,0,1,0
428,869,6,750.36,20,2,2,1,61,1,2,0,2,1
429,760,9,771.78,14,3,4,1,119,0,1,0,1,1
430,598,6,456.73,6,3,4,1,76,0,1,0,1,1
431,1500,4,1026.93,9,4,4,2,8,1,3,0,3,0
432,756,8,631.73,3,3,3,1,22,0,2,0,2,0
433,442,0,325.94,11,4,4,1,92,0,,1,1,0
434,1378,7,935,20,4,2,1,85,0,3,0,3,1
435,960,3,858.36,4,2,4,1,126,1,2,0,2,0
436,528,6,415,3,3,3,1,108,0,1,0,1,0
437,720,5,566.9,6,3,4,1,104,0,1,0,1,1
438,1974,7,1643.57,6,3,4,1,129,1,2,0,3,1
439,519,2,407,0,3,4,1,97,0,1,0,1,1
440,798,9,518.56,1,3,3,1,81,0,2,0,2,0
441,524,9,426.94,1,1,4,1,19,0,1,0,1,1
442,379,0,362.18,4,3,4,1,61,0,,1,1,0
443,597,0,584.32,6,3,4,1,31,0,1,0,1,0
444,692,8,665.58,8,3,4,1,61,1,1,0,2,1
445,673,2,416.98,6,3,4,1,102,0,1,0,2,1
446,695,5,663.99,5,3,4,1,81,1,1,0,1,1
447,974,9,749.1,25,3,4,1,83,1,2,0,2,0
448,1003,6,697.82,44,3,3,1,47,1,2,0,1,0
449,660,9,530.48,10,3,3,1,124,1,1,0,1,1
